         2011094 function calls (1975504 primitive calls) in 3.133 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
     2485    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
   1485/5    0.004    0.000    0.869    0.174 <frozen importlib._bootstrap>:1022(_find_and_load)
       48    0.000    0.000    0.035    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
 1372/291    0.002    0.000    0.773    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     2485    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
     1485    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:165(__init__)
     1485    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1485    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
     2485    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1454    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:198(cb)
     1000    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
   1928/6    0.001    0.000    0.868    0.145 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    12312    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
     1437    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     2582    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:391(cached)
     2947    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:404(parent)
     1384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
     1229    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1384    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
1384/1374    0.002    0.000    0.064    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   1384/6    0.003    0.000    0.868    0.145 <frozen importlib._bootstrap>:664(_load_unlocked)
     1454    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
     1433    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
     1409    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
     4347    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     4347    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:902(_resolve_name)
     1433    0.005    0.000    0.056    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
